EbN0_dB,EndToEndBER,HuffmanSER
0,0.379331374,0.75665272
1,0.378413344,0.728052899
2,0.377639485,0.696562313
3,0.376559901,0.661028093
4,0.375735003,0.623142558
5,0.375654397,0.581769277
6,0.374628579,0.536034071
7,0.374217621,0.487179468
8,0.37351653,0.435571578
9,0.372369547,0.382271369
10,0.372160106,0.326963539
11,0.371370314,0.271388225
12,0.370004686,0.216767782
13,0.369330777,0.166535415
14,0.368175017,0.120478183
15,0.366120484,0.080677675
16,0.364812969,0.050420652
17,0.359974778,0.028459354
18,0.3512379,0.013879259
19,0.33423151,0.00572624
20,0.306752982,0.001926181
