EbN0_dB,EndToEndBER,HuffmanSER
0,0.379755964553511,0.865103102026179
1,0.378934304703477,0.848691052537206
2,0.378574727334697,0.830705576474807
3,0.377851226993865,0.809626143087681
4,0.37803084526244,0.787699480007172
5,0.377413940013633,0.762732651963422
6,0.376590405589639,0.734990138067061
7,0.376447341513292,0.703738569123184
8,0.376507157464213,0.668845257306796
9,0.375907890252215,0.632557826788596
10,0.375071404226312,0.591414739107047
11,0.374870569188821,0.547335485027793
12,0.374225630538514,0.499270216962525
13,0.373462934560327,0.447651066881836
14,0.372610685071574,0.394393042854581
15,0.371702880027267,0.339170701093778
16,0.37069614860259,0.283790568405953
17,0.370024369461486,0.228596915904608
18,0.368698790047716,0.176745562130178
19,0.366960207907294,0.130311099157253
20,0.366530163599182,0.0890451855836472
