EbN0_dB,EndToEndBER,HuffmanSER
0,0.367475971,0.045153317
1,0.364331118,0.024732516
2,0.360119206,0.011794082
3,0.34714758,0.004723551
4,0.325800187,0.00153168
5,0.267043286,0.000357143
6,0.135825409,7.71E-05
7,0.014079499,7.17E-06
8,0.002283998,8.97E-07
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
