EbN0_dB,EndToEndBER,HuffmanSER
0,0.374612048,0.347785
1,0.373674847,0.292797776
2,0.372788088,0.237678307
3,0.37147759,0.185763213
4,0.370109748,0.137012597
5,0.369027607,0.095700901
6,0.367502045,0.061368629
7,0.365127812,0.035899045
8,0.358747444,0.01857399
9,0.352474352,0.008211324
10,0.32961077,0.003061371
11,0.287520535,0.000871027
12,0.179877386,0.000199489
13,0.030319189,3.05E-05
14,0.002318422,2.69E-06
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
